,,English/Anglais,French/Français,,,,,,,,,,
W191237-20,Similipectin greenlandicus,Bivalvia,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,6,-23.7,11.1,20.9,131
W191237-21,Margarites costalis,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,4,-22,9.1,19,57
W191237-22,Margarites costalis,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,4,-21.2,12.4,16.7,66
W191237-23,Cryptonatica sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-21.2,10.7,18.4,104
W191237-24,Cryptonatica sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-20.4,10.3,17.7,179
W191237-25,Boreotrophon truncatus,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-20,9.7,20.4,109
W191237-26,Neptunea sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-20.4,10.9,20.7,281
W191237-27,Neptunea sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-20.3,10.1,20.3,254
W191237-28,Buccinum sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-21.6,10.4,18.6,108
W191237-29,Buccinum sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-21.7,9.4,17.7,69
W191237-30,Buccinum polare,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-20.8,10.4,18.3,138
W191237-18,Buccinum polare,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-20.2,12,11.5,207
W191237-31,Cylichna sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-22.7,8.4,18.8,26
W191237-32,Tachyrhynchus sp.,Gastropoda,"Soft tissues (muscle, internal organs)","East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-20.4,5.9,19.5,14
W191237-33,Amphiporus sp.,Nemertea,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,4,-23.1,10.4,20.2,30
W191237-34,Amphiporus sp.,Nemertea,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,-22.6,10,19.6,37
W191237-35,Pectinaria hyperborea,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,4,-21.5,7.1,16.4,48
W191237-37,Gattyana cirrhosa,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,-20.7,11.5,20.6,87
W191237-38,Gattyana cirrhosa,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,-21.2,11.6,20.3,51
W191237-39,Bylgides sp.,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,4,-20.5,12.1,,23
W191237-40,Bylgides sp.,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,3,-20.8,11.9,18.2,24
W191237-41,Hamothoe imbricata,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,3,-21.4,11.4,18.9,42
W191237-42,Hamothoe imbricata,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,3,-20.3,10.6,16.7,38
W191237-43,Bylgides sarsi,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-22.1,11.3,18.1,63
W191237-44,Bylgides sarsi,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-22,11.3,17.8,58
W191237-45,Bylgides sarsi,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-22.4,10.9,17.7,41
W191237-46,Nephtys sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-20.6,10.5,16.8,127
W191237-47,Nephtys sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-20.1,11.3,17.3,105
W191237-48,Nephtys sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-19.8,10.6,17.8,215
W191237-49,Phyllodoce groenlandica,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,-21.2,11.1,17.9,48
W191237-50,Phyllodoce groenlandica,Polychaeta,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,-20.7,11.3,16.9,33
W191237-51,Unidentified polychaete sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-21.6,9.2,15,22
W191237-52,Unidentified polychaete sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-21.6,8.7,15.5,24
W191237-53,Unidentified polychaete sp.,Polychaeta,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,-21.7,7.9,15.4,19
W191237-54,Nereis zonata,Sipuncula,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,-22.1,8.7,15.3,20
W191237-55,Sipunculid sp 1,Sipuncula,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,3,,6.4,19.9,11
W191237-56,Sipunculid sp 1,Sipuncula,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,,6.7,19.8,16
W191237-57,Sipunculid sp 1,Sipuncula,Whole body,"East of Herschel Island, YT",2007-08-02,69.6125,-138.5626,116.13,2,,5.5,20.4,14
W191237-58,Sipunculid sp 2,Sipuncula,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,,6,19.7,14
W191237-59,Sipunculid sp 2,Sipuncula,Whole body,"Northwest of Cape Bathurst, NT",2007-07-31,70.6952,-128.8393,22.31,2,,4.4,19.1,8
